学名,和名,Pdfリンク,開長(mm),分布,食草,メモ
Satatura_genutia,スジグロカバマダラ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-da 4.pdf,70,Pakistan～オーストラリア,ガガイモ科のキジョラン、など,ｽｼﾞｸﾞﾛｶﾊﾞﾏﾀﾞﾗ属。沖縄・中国大陸からｲﾝﾄﾞｵｰｽﾄﾗﾘｱ区に生息。4種からなるとされ るが同定は困難である。同一種でも斑紋の変化が多い。
Parantica_aspasia,キシタマダラ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-da 5.pdf,70,タイ～スンダランド～パラワン,ガガイモ科植物の一種,
Ideopsis_vitrea,リュウキュウアサギマダラ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-da 5.pdf,100,インド・セイロン～東南アジア～沖縄,ガガイモ科のツルモウリンカ、ホウライカモメズル,
Bibasis_gomata,ウラジロビロードセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-hes 1.pdf,52,India～Celebes,ウコギ科のオオフカノキ （Schefflera actinophylla）,計１６種でその大半がインド・マレーを中心とした東南アジアの熱帯に生息。青く輝いた美しい種がある。
Unkana_mytheca,タコノキセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-hes 1.pdf,33,タイランド～フィリピン～スンダランド,タコノキ科のアダン（Pandanus odoratissimus),計１６種でその大半がインド・マレーを中心とした東南アジアの熱帯に生息。青く輝いた美しい種がある。
Chaospes_stigmatus,アッサムアオバセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-hes 1.pdf,55,Assam～Sundaland,アワブキ科のアワブキ,互いによく似た６種からなり、インド～中国～ニューギニアに生息し、日本にも広がる。暗緑色 で体下面や後翅下端に黄橙色のある美麗種。
Bibasis_harisa,メスアオビロードセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-hes 1.pdf,50,Assam～Sundaland,アカネ科のUrophyllum,計１６種でその大半がインド・マレーを中心とした東南アジアの熱帯に生息。青く輝いた美しい種がある。
Chaospes_hemixusanthus,キシタアオバセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-hes 1.pdf,55,セレベス～ニューギニア,クロタキカズラ科のRhiticaryum longifolium,互いによく似た６種からなり、インド～中国～ニューギニアに生息し、日本にも広がる。暗緑色 で体下面や後翅下端に黄橙色のある美麗種。
Tagarides_tova,トガリシロシタセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-hes 1.pdf,33,Malaya,ヤマイモ科のDioscorea alata,1種を除いて後翅の下端が白色のｾｾﾘ。ｱﾌﾘｶが分布 の中心だがインド・ｵｰｽﾄﾗﾘｱ区に広がる。
Parnara_apostata,ミナミイチモンジセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-hes 2.pdf,34,タイビルマ国境・マレ・ボルネオ,イネ科の植物,よく似た属が３種あるが日本のイチモンジセセリ の属するこのParnaraは触覚が短いことで区別で きる。東洋の稲作と関係が深いと言われる。
Koruthaialos_sinda,ベニモンセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-hes 2.pdf,50,ビルマ～スンダランド・パラワン,バショウ科のバナナの一種Musa sapientum,マレー半島のババナのある村落周辺の樹林下 で見かける。
Erionota_torus,バナナセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-hes 2.pdf,70,Checkered Flat,バショウ科のバショウ、バナナなど,東洋の熱帯に広く分布する大型のセセリで８種あまりが知られてい る。低山地のバナナの植えられたところを夕方活動する。
Telicota_hilda,オオアカセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-hes 2.pdf,35,タイビルマ国境・マレ・ボルネオ・パラ,イネ科のササキビ（Staria palmifolia),八重山にも一種いる東洋熱帯からオーストラリアに 分布する属で、２０余種の大部分がニューギニアに おり、東洋熱帯には数種類いるだけ。
Abraximorpha_davidii,ユウマダラセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-hes 2.pdf,44,インドシナ北部・中国南部・台湾,バラ科のRubus reflexus,台湾の山地の路傍でよく見かける蛾のようなセセ リ。飛翔も敏捷でなく、翅を開いて止まる。
Libythea_celtis,テングチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-lib 1.pdf,50,Japan～Himalayas,ニレ科のエノキ,
Libythea_myrrha,ムラサキテングチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-lib 1.pdf,55,SouthEastAsia,ニレ科のコウトウエノキ,本種は、東南アジア独特の紫に光ったテングチョウで地域により色彩に差がある。
Libythea_myrrha,キオビテングチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-lib 1.pdf,50,India～China～Sundaland,,
Arphopala_hellenore,ミドリムラサキツバメ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 1.pdf,44,Sundaland,ブナ科のLithocarpus rouletii,東・東南アジア～オーストラリアに住む。翅表は紫色、青色あるものは緑色に光る。２０ ０以上の多くの見分けにくい種に分化している。マレー半島やパラワンでは２ｍ足らず の林道を歩き飛び出すものを手当たり次第に採集、展翅したところ１０種以上あったこ とがある。
Heliofosus_epicles,ウラフチベニ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 1.pdf,32,Himalayas-China-Java,タデ科のツルソバ,いわゆるウラフチベニの属で東南アジア、中国奥地、ニューギニア、中米ガテマラに生息。
Arphopala_alkithenes,ウラクロムラサキ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 1.pdf,50,PapuaNewGuinea,Bacacaurea aff. Deflexia,東・東南アジア～オーストラリアに住む。翅表は紫色、青色あるものは緑色に光る。２０ ０以上の多くの見分けにくい種に分化している。マレー半島やパラワンでは２ｍ足らず の林道を歩き飛び出すものを手当たり次第に採集、展翅したところ１０種以上あったこ とがある。
Heliofosus_epiclesUN,ウラフチベニＵＮ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 1.pdf,32,Himalayas-China-Java,タデ科のツルソバ,いわゆるウラフチベニの属で東南アジア、中国奥地、ニューギニア、中米ガテマラに生息。
Cordelia_comes,タイワンアカ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 1.pdf,35,Taiwan～CentralChina,カバノキ科のシマシデ,タイワンアカシジミを含む属。日本のアカ シジミのJaponicaの近縁でミドリシジミ族 において進化的には原始的な属。
Artipe_eryx,イワカワシジミ裏,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 1.pdf,35,SouthEastAsia,アカネ科のGardenia jasminoides,本属は裏が緑。尾状突起が長い。幼虫は果実に 潜り込んで食べる。♂は丘の頂上に夕方集ま る。
Helioforus_kiana UN,ボルネオウラフチベニ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 1.pdf,38,Borneo,タデ科のツルソバ,いわゆるウラフチベニの属で東南アジア、中国奥地、ニューギニア、中米ガテマラに生息。
Loxura_atymnus,オナガアカシジミ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 2.pdf,34,India～Sundaland,ユリ科のSmilax polyacantha,セイロンからSundaland、フィリピンに生息する2種を含む属。
Neomyrina_nivea,ハゴロモシジミ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 2.pdf,56,Thailand,ニシキギ科のKurrimia paniculata,一種からなる。南ビルマからスマトラまでが生息 域。林間を高く飛ぶので捕らえにくい。
Drupadia_ravindra,アトルリセキレイ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 2.pdf,37,Thailand～Sundaland,ムクモジ科の Schleichera oleosa,北東インド・スンダランド・フィリピン・セレベスに生息。一本の長いものと２本 の短い尾状突起がある。
Eooxylides_tharis,ウラアカセキレイ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 2.pdf,38,Sundaland,ユリ科の大形サルトリイバラ,翅表は黒褐色。林間の小道にローカルに生息し発見されて も数は少ない。
Cheritra_freja,セキレイツバメ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 2.pdf,40,India～Borneo,バレンシイ科のMonocarpia marginalis,東南アジアの尾長のシジミの代表といえるもの。鶺 鴒のように飛んでは止まる普通種。食草はマメ科。
Dakalana_anysis,アバタルリツバメ裏,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 3.pdf,36,Celebes,ヤドリギ科のScurrula parasitica,本属はvindraとcotysの二つのグループからなる。vindraは林の下生の葉の裏に止まる。これに対してcotysは丘の 頂上で見かける。上の二つの属にアフリカに生息する翅表が青か緑か青混じりの白の美麗属Iolausを加えたものを ヤドリギシジミ族という。食草はヤドリギ科。右の属はウラキンルリツバメ族（Remelanini）といわれる小族だが、ヤド リギシジミ族と近縁。
Remenala_jangala,ウラキンルリツバメ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 3.pdf,36,Celebes～Thailand～Sumatra,ウコギ科のPolyscias rumphiana,翅表はルリ色。セイロンと南インド以外のインド・ オーストラリア地区の森林中に生息。林辺や潅木 が散在する日当たりのよいところに飛ぶ。
Tajuria_cippus,ヤドリギツバメ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 3.pdf,40,India～China～ Sundaland,ヤドリギ科のScurrula parasitica,本属はvindraとcotysの二つのグループからなる。vindraは林の下生の葉の裏に止まる。これに対してcotysは丘の 頂上で見かける。上の二つの属にアフリカに生息する翅表が青か緑か青混じりの白の美麗属Iolausを加えたものを ヤドリギシジミ族という。
Thamala_marciana,アカオニシジミ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 3.pdf,36,Sundaland,ウルシ科のSemecarois reticulata,２種からなる。ビルマからマレイ半島北部に生息。 低地の森林で見られる珍品。
Spindasis_seliga,オオフタオツバメ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 3.pdf,44,Thailand～Malaya～Borneo,クスノキ科のアオモジ （Litsea cubeba),２本の尾状突起、裏面は黄色地に数本の銀線。ア フリカに３０種、東南アジアに１５種、日本にも一種 いる。
Dakalana_anysis,アバタルリツバメ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 3.pdf,36,Celebes,ヤドリギ科のScurrula parasitica,本属はvindraとcotysの二つのグループからなる。vindraは林の下生の葉の裏に止まる。これに対してcotysは丘の 頂上で見かける。上の二つの属にアフリカに生息する翅表が青か緑か青混じりの白の美麗属Iolausを加えたものを ヤドリギシジミ族という。
Thaduka_multicudata,ルリイロミツオシジミ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 3.pdf,42,Laos～thailand,トウダイグサ科のAlchornea tiliifolia,本属は、ラオス～タイに分布。タイでは公園に普通。筆者も タイの公園で採集したことがある。
Jamides_alecto,シロウラナミシジミ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 4.pdf,21,インド～セレベス～台湾,ショウガ科のオオバンガジュツ、ショウズク,インド．オーストラリア区に約５０種ほど、同定は困難。林縁で活動し、とくに夕 方活発。
Danis_phroso,ルリカザリシジミ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 4.pdf,40,PapuaNewGuinea,大型のつる草,大型のつる草を食草とするニューギニアに固有の属。
Allotinus_unicolor,ムモンアシナガシジミ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 4.pdf,15,Thailand～Malaya～Borneo,竹の一種に寄生するアブラムシ,インド・オーストラリア区に生息し、どの種も表はこげ茶に白い斑紋、裏は不明瞭な斑点を 一面に散らしている地味な蝶。林縁で活動し、とくに夕方活動が活発。
Allotinus_unicolor,ムモンアシナガシジミＵＮ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 4.pdf,15,Thailand～Malaya～Borneo,竹の一種に寄生するアブラムシ,インド・オーストラリア区に生息し、どの種も表はこげ茶に白い斑紋、裏は不明瞭な斑点を 一面に散らしている地味な蝶。林縁で活動し、とくに夕方活動が活発。
Udara_dilecta,タッパンルリシジミ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 4.pdf,30,東・東南アジア,ブナ科のコジイの蕾,ルリシジミ群がユーラシア大陸に生息するのに対して本属は熱帯に栄 えるもので１０種を越える。
Jamides_alecto,シロウラナミシジミ裏,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ly 4.pdf,21,インド～セレベス～台湾,ショウガ科のオオバンガジュツ、ショウズク,インド．オーストラリア区に約５０種ほど、同定は困難。林縁で活動し、とくに夕 方活発。
Cethosia_biblis,ハレギチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 1.pdf,76,SouthernChina～Sundaland,トケイソウ科のクサトケイソウ,
Cethosia_myrina,セレベスハレギ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 1.pdf,100,Celebes,トケイソウ科のダルマカズラ属？,
Cethosia_penthesilea,スンダハレギ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 1.pdf,80,SundaArchipelago,トケイソウ科のAdenia heterophylla,南米のドクチョウと同じく、食草は有毒なトケイソウ科。ランタナの花に飛来し翅を開閉する様はまさにハレギチョウ。インド・オーストラリア区に広く分布。
Cethosia_hypsea,キオビハレギチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 1.pdf,82,Sundaland,トケイソウ科のAdenia cordifolia,南米のドクチョウと同じく、食草は有毒なトケイソウ科。ランタナの花に飛来し翅を開閉する様はまさにハレギチョウ。インド・オーストラリア区に広く分布。
Cethosia_biblis UN,ハレギチョウＵＮ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 1.pdf,76,SouthernChina～Sundaland,トケイソウ科のクサトケイソウ,
Tanaecia_iapis,ルリイナズマ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 2.pdf,60,Sundaland,ツバキ科のトガリバヒサカキなど,この属の種は上の２種に比べると細い。北インドからSundalandにまで分布。
Euthalia_amanda,オオベニイナズマ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 2.pdf,88,Celebes,ヤドリギ科のScurrula parasitica,インド・セイロンからニューギニアにかけて分布する。♀♂の差は顕著。森林の道端や切り開かれた所を好み、熟れた果実に集まる。ここに示した赤の斑紋があるものは比較的稀で一般に地 味。
Euthalia_irrubescens,イナズマチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 2.pdf,82,Taiwan～SouthernChina,リトウヤドリギ、ニンドウバヤドリギなど,インド・セイロンからニューギニアにかけて分布する。♀♂の差は顕著。森林の道端や切り開かれた所を好み、熟れた果実に集まる。ここに示した赤の斑紋があるものは比較的稀で一般に地 味。
Lexias_pardalis,パルダリスオオイナズマ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 2.pdf,80,Sundaland,オトギリソウ科のCrratoxylum cochinchinense,胴体は頑丈な属で本種のように♂の後翅の後縁に青色の帯びがある種がある。
Athyma_libnites,シロモンアカミスジ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 3.pdf,80,Celebes,トウダイグサ科のケカンコノキ,成虫はAsterope属に似るが胴体は頑丈で羽根の幅が広い。イ ンド・中国・Sundlandからソロモン諸島に達するがニューギニ ア・オーストラリアにはいない。
Cirrochroa_regina,ヘリグロタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 3.pdf,75,PapuaNewGuinea,イイギリ科Ｆｌａｃｏｕｒｔｉａなど,ヒョウモン亜科に属する属で、セイロン～ニューギニア に分布。低山地に生息し、日当たりの良い林縁や渓谷 を活発に飛ぶ。大半は褐色だがニューギニアに翅表に 赤帯のある種あり。
Euripus_consimilis,アカネゴマダラ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 3.pdf,76,Himalayas～Laos,ニレ科のCeltis tetrandra,ヒマラヤ～タイ北部の山地に生殖する小属。
Parthenos_sylvia,トラフタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 4.pdf,90,India～NewGuinea,トケイソウ科のAdenia hetrophylla、Passiflora perakensis,前翅にある白い紋列によって容易に識別できる属。セイロン～ ニューギニアまで分布。
Polyura_dehanii,クギヌキフタオ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 4.pdf,85,Java～Sumatra,,本属はCharaxesのように後翅の翅脈にに閉じたセルがない。セ イロンからフィジー島まで分布。しばしば太い樹の幹に止まる。
Charaxes_bupalus,シロオビチャイロフタオ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 4.pdf,88,Palawan,トウダイグサ科のCtoton macrocarpus,本属は原則として２つの尾状突起がある。アフリカ大陸 で非常な分化を遂げ、東南アジアにも多数の種があ る。一種が欧州へ。飛翔は敏捷だがトラップに飛来。
Callima_inachus,コノハチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 5.pdf,100,India～タイワン,キツネノゴマ科の各種,翅裏が木の葉に極似した種が多くコノハチョウの名で呼ばれ る。東南アジアからアフリカの低地の森林に生息。アフリカ産は 小型。マダガスカルにはいない。
Mimathyma_ambica,キララコムラサキ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 5.pdf,63,Himalayas～Laos,ニレ科のＵｌｍｕｓ ｗａｌｌｉｃｈｉａｎａ,この属はシベリアから中国大陸を経てヒマラヤに生息する種を 含む。翅表はすべての種が黒地に白帯。
Stibochiona_shoenbergi,カザリスミナガシ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 5.pdf,60,Borneo,イラクサ科のOreocnide trinervia,上種に近縁の２種。niceaはインド・ビルマ・タイからマ レー半島にかけて、shoenbergiはボルネオに生息。
Prothoe_frank,ルリオビヤイロタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 6.pdf,106,Sundaland,バンレイシ科のトゲバンレイシイ,本属はアッサムからニューギニアに分布。代表種calydoniaの裏の模様からヤイロタテハの呼称。樹上高く高速に飛ぶが人獣の糞に集まる。稀だが筆者は２種を観察。
Prothoe_calydonia,ヤイロタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ny 6.pdf,100,Sundaland,バンレイシ科のDesmos chinensis,本属はアッサムからニューギニアに分布。代表種calydoniaの裏の模様からヤイロタテハの呼称。樹上高く高速に飛ぶが人獣の糞に集まる。稀だが筆者は２種を観察。
Ornithoptera_alexandrae,アレキサンドラアゲハ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-pa/i_o-papilio_1 1.pdf,250,Papua New Guinea,Aristolochia dielsiana,ニューギニアを中心に分布する世界最大で最美麗の種を含む。♀は茶色地に白ないし薄茶の大きな斑紋を持つ地味な蝶。この 種は世界最大のアゲハチョウで、会長26cmに達するものもある。一時絶滅が危惧されたが現在は飼育され世界市場に出回ってい る。
Parides_amphrythus,Ｉアンフリサスキシタ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-pa/i_o-papilio_1 10.pdf,165,Malay～Sumatra～Borneo,Aristolochia foveolata，A.tagala,Troides属は、後翅が黄色い各種のキシタアゲハを含む属で、IndoAustoralia区にだけ生息する。本種はとくに後翅が明るく光る美 麗種。日中高所を高速に飛翔し捕獲は困難だが、朝は吸蜜に訪れる。
Parides_hypolitus,サビモンキシタ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-pa/i_o-papilio_1 11.pdf,156,Celebes島とその周辺の島。,,Troides属は、後翅が黄色い各種のキシタアゲハを含む属で、IndoAustoralia区にだけ生息する。本種はとくに後翅に錆び 紋がある変わり種でセレベス島に生息。
Parides_cuneifer,クサビモンキシタ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-pa/i_o-papilio_1 12.pdf,165,Sundaland,Aristolochia foveolata,Troides属は、後翅が黄色い各種のキシタアゲハを含む属で、IndoAustoralia区にだけ生息する。本種はスマトラ島の北部の９００ｍ から１４００ｍの高地に生息する。♂♀とも好んで日中吸密する。
Troides_mirand,ミランダキシタ♂,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-pa/i_o-papilio_1 13.pdf,150,Sumatra,Aristolochia foveolata,Troides属は、後翅が黄色い各種のキシタアゲハを含む属で、IndoAustoralia区にだけ生息する。本種はスマトラ島の北部で他のア ンフリサスやヘレナキシタとや南部ではクサビモンキシタと混飛する。
Troides_miranda,ミランダキシタ♀,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-pa/i_o-papilio_1 14.pdf,180,Sumatra,Aristolochia foveolata,Troides属は、後翅が黄色い各種のキシタアゲハを含む属で、IndoAustoralia区にだけ生息する。本種はスマトラ島の北部で他のア ンフリサスやヘレナキシタとや南部ではクサビモンキシタと混飛する。
Atrophaneura_horishana,アケボノアゲハ裏,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-pa/i_o-papilio_1 15.pdf,134,Taiwan,Aristolochia liuliuensis,Atrophaneura属は、体形的にTroidesに近いがそれより小型で羽のアスペクト比が小さい。ウマノスズクサを食草とするため鳥に嫌 われる。擬態のモデル。本種は台湾高地の固有種。
Atropsneura_semperi,セジロアケボノ裏,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-pa/i_o-papilio_1 16.pdf,138,Philipine,Aristolochia shimadai（タイワンウマノスズクサ）,Atrophaneura属は、体形的にTroidesに近いがそれより小型で羽のアスペクト比が小さい。ウマノスズクサを食草とするため鳥に嫌 われる。擬態のモデル。本種はフィリピン群島のの固有種。
Pachliopta_polydorus,オナシベニモン裏,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-pa/i_o-papilio_1 17.pdf,100,Papua New Guinea,Aristolochia indica,Atrophaneura に近いが♂の生殖器が異なる。
Pachliopta_ neptunus,アカモンホソバジャコウ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-pa/i_o-papilio_1 18.pdf,108,Sundaland,Aristolochia tomentosa,Atrophaneura に近いが♂の生殖器が異なる。
Pachlioptaa_istolochia,ベニモンニモンアゲハ裏,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-pa/i_o-papilio_1 19.pdf,95,India～Sundaland、中国・台湾,各種のウマノスズクサ類,Atrophaneura に近いが♂の生殖器が異なる。本種は台湾・中国・スンダランド～インドにかけて最も普通な種。
Ornithoptera_croesosu,ヒイロトリバネ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-pa/i_o-papilio_1 2.pdf,156,ハルマヘラ島、バッチャン島,Aristolochia gaudichaudi,ニューギニアを中心に分布する世界最大で最美麗の種を含む。♀が色彩は地味だが大きさは♂よりかなり大。本種の♂は緋色を 持つ変り種でハルマヘラ、モロッカ、バッチャン島に生息。
